ID,lat,long,altitude,median_water_depth
335335078351901,33.8930555555556,-78.5886111111111,14.9352,
335629078115406,33.9411111111111,-78.1986111111111,11.2776,3.2400240000000005
335629078115407,33.9413888888889,-78.1986111111111,10.3632,
335631078003604,33.9419444444444,-78.0097222222222,8.558784,6.8397120000000005
335631078003605,33.9419444444444,-78.0097222222222,8.613648000000001,6.449568
335631078003606,33.9419444444444,-78.0097222222222,8.5344,
335849078054301,33.9802777777778,-78.0952777777778,16.623792,11.463528
340416078084202,34.0713888888889,-78.1448611111111,12.192,2.8376880000000004
344520079281001,34.755,-79.4672222222222,64.31280000000001,3.745992
344544079263701,34.7622222222222,-79.4436111111111,64.31280000000001,5.640324000000001
345051078012109,34.8477777777778,-78.0209722222222,25.908,2.075688
345809077301408,34.97,-77.5033333333333,19.952208,1.7404080000000002
345812079313401,34.9705555555556,-79.5283333333333,131.15544,9.244584
351121083545002,35.1891666666667,-83.9138888888889,523.25016,1.69164
351709082434101,35.2858333333333,-82.7280555555556,663.48864,4.255008
351808082374302,35.3027777777778,-82.6283333333333,654.558,8.887968
351849078163901,35.3097222222222,-78.2727777777778,56.60136,1.2237719999999999
352012081154301,35.3368055555556,-81.2620694444444,284.006544,11.530584
352012081154302,35.3368055555556,-81.2620694444444,282.18993600000005,9.87552
352315082484401,35.3877777777778,-82.8122222222222,959.63232,
353135080524201,35.5263888888889,-80.8783333333333,244.81536000000003,5.361432000000001
353135080524202,35.5266666666667,-80.8783333333333,244.7544,5.349240000000001
353135080524203,35.5266666666667,-80.8783333333333,244.66296000000003,6.934200000000001
353219077153801,35.5383333333333,-77.2613888888889,16.770096000000002,1.161288
353827076293001,35.6407583,-76.49165278,3.3528,0.246888
354057080362601,35.6827833333333,-80.6070472222222,206.07528,2.069592
354133082042201,35.6926111111111,-82.0729444444444,409.8036,8.970264
354133082042203,35.6926111111111,-82.0729444444444,409.83408,9.000744000000001
354302081433201,35.7172222222222,-81.7255555555556,315.83376000000004,2.426208
354302081433202,35.7172222,-81.7255556,315.68136000000004,3.401568
354418076463601,35.7388888888889,-76.7752777777778,10.158984,0.7711439999999999
355359080331701,35.8998194444444,-80.5547805555556,253.49911200000005,5.059680000000001
355457078232701,35.9158333,-78.3908333,93.5736,2.328672
355944079013401,35.9956916666667,-79.0260472222222,148.16328,11.073384
361011079595401,36.1697777777778,-79.9982777777778,295.68648,
361829076163201,36.3083333333333,-76.2752777777778,3.6576,1.240536
AA27L1,34.452033,-77.615114,19.5962016,7.799832
AA27L2,34.452033,-77.615114,19.5748656,10.274808
AA27L3,34.452033,-77.615114,19.5200016,10.966704
AA27L4,34.452033,-77.615114,19.5169536,10.680192
AA32R1,34.44595,-78.03817,5.2294536,2.340864
AA32R2,34.44595,-78.03817,6.000597600000001,-0.207264
AA32R3,34.44595,-78.03817,4.839309600000001,2.822448
AA32R4,34.44595,-78.03817,5.1105816,-0.5181600000000001
AA35N1,34.455982,-78.307832,7.7227176,1.970532
AA35N2,34.455982,-78.307832,7.579461600000001,-11.55192
AA35N3,34.455982,-78.307832,8.8504776,2.286
AA35N4,34.455982,-78.307832,8.2317336,2.1579840000000003
AA35N5,34.455982,-78.307832,8.1555336,-0.765048
AA35N6,34.455982,-78.307832,8.2317336,-1.170432
AA39V1,34.418763,-78.602503,31.947612,6.163056
AA39V2,34.418763,-78.602503,31.892748000000005,14.67612
AA39V3,34.418763,-78.602503,31.926276,12.673584
AA39V4,34.418763,-78.602503,31.990284000000003,11.152632000000002
AA43Q1,34.439458,-78.971663,24.36876,18.193512
B10K1,36.536716,-76.17539,1.743456,3.255264
B10K2,36.536716,-76.17539,1.743456,0.722376
B10R1,36.523704,-76.206839,3.8179248,5.335524000000001
B20U5,36.507222,-77.005833,20.0869296,23.887176000000004
B20U6,36.507222,-77.005833,20.7209136,42.028872
B20U7,36.507222,-77.005833,21.1567776,42.044112
B20U8,36.507222,-77.005833,21.4036656,4.453128
B39X1,36.50738,-78.64017,116.9084784,6.84276
BB28J2,34.399976,-77.67817,18.1057296,12.441936
BB28J3,34.399976,-77.67817,18.0417216,10.869168
BB28J4,34.399976,-77.67817,18.0478176,7.546848000000001
BB28J5,34.399976,-77.67817,18.0508656,2.3073360000000003
BB45M2,34.373223,-79.127359,27.599944800000003,13.941552
BB45M3,34.373223,-79.127359,27.670048800000004,8.119872
BB45M4,34.373223,-79.127359,27.523744800000003,6.807708
BB45M5,34.373223,-79.127359,27.6212808,3.514344
BB45M6,34.373223,-79.127359,27.560320800000003,2.097024
C12W2,36.431549,-76.375628,3.4357056000000004,1.453896
C12W4,36.431549,-76.375628,3.4143696,6.373368
C12W5,36.431549,-76.375628,3.3229296,24.594312
C12W6,36.431549,-76.375628,3.3991296,7.8486
C16S1,36.4406,-76.6997,10.0584,15.663672000000002
C16S2,36.4406,-76.6997,10.0584,10.213848
C16S3,36.4406,-76.6997,10.0584,10.247376
C16S4,36.4406,-76.6997,10.0584,5.519928
C16S5,36.4406,-76.6997,10.0584,3.755136
C16S6,36.440501,-76.699652,10.0584,31.741872
C23Y1,36.42726,-77.31878,32.859573600000004,3.67284
C26N2,36.45535,-77.56018,39.624,4.453128
C30P1,36.433399,-77.91389,119.0664624,4.483608
C31Y1,36.42048,-77.9992,107.3926224,4.2123360000000005
C33Y1,36.43298,-78.1661,133.4710056,5.462016000000001
C34L1,36.45644,-78.18521,127.2954528,6.227064
C71U1,36.416674,-81.258856,858.7368144000001,9.201912
CC29L1,34.289688,-77.767845,8.205216,7.545324000000001
CC29L2,34.289688,-77.767845,8.16864,9.640823999999999
CC29L3,34.289688,-77.767845,8.025384,2.054352
CC29L4,34.289688,-77.767845,7.888224,9.674352
CC30E1,34.3306,-77.90123,7.5428856,2.602992
CC30E2,34.3306,-77.90123,7.545933600000001,3.745992
CC30E3,34.3306,-77.90123,7.3813416,2.551176
CC31U1,34.26499,-77.92259,6.711696,2.69748
CC33O2,34.289277,-78.156671,18.080736,4.559808
CC33O5,34.289277,-78.156671,17.772888000000002,0.920496
CC38B10,34.33,-78.53,19.467576,5.772912000000001
CC38B5,34.325959,-78.529773,19.02714,0.8229600000000001
CC38B6,34.325959,-78.529773,19.374612,5.3050440000000005
CC38B7,34.325959,-78.529773,20.203668,-0.408432
CC38B8,34.325959,-78.529773,19.40814,5.763768000000001
CC38B9,34.325959,-78.529773,19.395948,5.370576000000001
D11V5,36.347527,-76.277474,1.9519392,2.036064
D20U1,36.345265,-77.002514,15.9736536,28.517088
D52L1,36.375486,-79.685453,214.75293600000003,6.944868
D61X1,36.343972,-80.467563,408.136344,13.322808
D72Y1,36.333751,-81.415068,868.8348384,1.389888
D7F1,36.3954,-75.9998,1.8288,1.072896
D7F2,36.3954,-75.9998,1.8288,17.224248
D7F3,36.3954,-75.9998,1.8288,6.934200000000001
DD42N1,34.210698,-78.896111,32.6251824,2.417064
DD42N2,34.210698,-78.896111,32.723328,13.264896000000002
DD42N3,34.210698,-78.896111,32.3996304,28.715208
DD42N4,34.210698,-78.896111,32.3935344,20.884896
E10U4,36.250825,-76.177299,2.2094952,2.218944
E10U5,36.250825,-76.177299,2.2795992000000003,2.5511760000000003
E13M1,36.295645,-76.463015,4.898136,2.185416
E13M2,36.295645,-76.463015,4.742688,23.737824
E13M3,36.295645,-76.463015,4.620768,16.258032000000004
E21S1,36.267494,-77.105959,17.4153576,5.180076
E25L1,36.29416,-77.4454,16.6948104,21.997416
E25L2,36.29404,-77.44537,16.6490904,6.4556640000000005
E25L3,36.29408,-77.44532,16.673474400000003,5.83692
E38F1,36.30473,-78.5829,131.6373288,1.994916
E61C1,36.33285,-80.46027,316.65641519999997,19.223736
E62U1,36.255882,-80.505147,252.8550696,8.327136000000001
E76Q1,36.27913,-81.7178,1237.7391552,19.238976
E76Q2,36.27959,-81.71772,1237.8885072,8.990076
E76Q3,36.279506,-81.717645,1237.7604912,19.6596
EE30M1,34.123109,-77.871875,1.6087344,1.283208
EE30M2,34.123109,-77.871875,1.7794224,3.343656
EE30M3,34.123109,-77.871875,1.7215104,2.96418
EE30P1,34.113155,-77.91664,5.3550312,5.7912
EE30P2,34.113155,-77.91664,5.4251352,1.136904
EE30P3,34.113155,-77.91664,5.3550312,5.769864
EE36K2,34.128756,-78.338547,18.391632,-7.732776000000001
