ID,lat,long,altitude,median_water_depth
BRN-0406,33.1911111111111,-81.5133333333333,65.8368,
BRN-0408,33.19111111,-81.51333333,65.8368,19.418808
BRN-0409,33.19111111,-81.51305556,65.532,13.405104
BRN-0415,33.1825,-81.67861111,55.168800000000005,13.770864
BRN-0416,33.1825,-81.67861111,55.473600000000005,11.97864
BRN-0417,33.2294444444444,-81.5752777777778,95.4024,
BRN-0418,33.2294444444444,-81.5752777777778,95.4024,
BRN-0419,33.22972222,-81.57527778,95.4024,37.298376000000005
BRN-0420,33.22972222,-81.57527778,95.4024,28.136088
BRN-0424,33.2108333333333,-81.6575,80.772,
BRN-0427,33.21083333,-81.6575,80.772,25.795224
BRN-0429,33.21055556,-81.6575,80.772,17.059656
BRN-0430,33.2858333333333,-81.6347222222222,83.51520000000001,
BRN-0431,33.2858333333333,-81.635,83.51520000000001,
BRN-0432,33.2858333333333,-81.635,83.51520000000001,
BRN-0433,33.28583333,-81.635,83.51520000000001,28.60548
BRN-0434,33.28583333,-81.63472222,83.51520000000001,10.250424
BRN-0436,33.25277778,-81.6725,90.2208,39.124128000000006
BRN-0437,33.2530555555556,-81.6725,90.2208,
C71U1,36.416674,-81.258856,858.7368144000001,9.201912
CAL-0002,33.5575,-80.7166666666667,51.816,17.141952
CAL-0115,33.8122222222222,-80.9819444444445,54.864,
CAL-0192,33.5986111111111,-80.6477777777778,57.912000000000006,6.278880000000001
CAL-0193,33.5986111111111,-80.6477777777778,58.216800000000006,18.34896
CAL-0194,33.5986111111111,-80.6477777777778,57.912000000000006,31.053024
CAL-0195,33.5986111111111,-80.6477777777778,57.912000000000006,29.42844
CAL-0196,33.4858333333333,-80.6597222222222,45.72,
CAL-0215,33.59861,-80.64787,56.997600000000006,28.2702
CC31U1,34.26499,-77.92259,6.711696,2.69748
CC33O2,34.289277,-78.156671,18.080736,4.559808
CC33O5,34.289277,-78.156671,17.772888000000002,0.920496
CC38B10,34.33,-78.53,19.467576,5.772912000000001
CC38B5,34.325959,-78.529773,19.02714,0.8229600000000001
CC38B6,34.325959,-78.529773,19.374612,5.3050440000000005
CC38B7,34.325959,-78.529773,20.203668,-0.408432
CC38B8,34.325959,-78.529773,19.40814,5.763768000000001
CC38B9,34.325959,-78.529773,19.395948,5.370576000000001
CHN-0044,32.79583333,-80.07055556,2.7432000000000003,11.146536
CHN-0163,32.7880555555556,-79.8716666666666,7.9248,
CHN-0172,32.8477777777778,-80.0641666666667,4.572,
CHN-0173,32.8452777777778,-79.8269444444444,4.572,
CHN-0174,32.5805555555556,-80.1597222222222,2.1336,
CHN-0178,32.7841666666667,-79.9430555555556,2.4384,
CHN-0182,33.2005555555556,-79.4355555555556,3.048,
CHN-0183,32.8680555555556,-79.7655555555555,7.62,
CHN-0186,32.5997222222222,-80.1058333333333,1.524,
CHN-0187,32.7875,-79.7872222222222,3.048,
CHN-0219,32.8044444444444,-79.7336111111111,3.048,
CHN-0460,32.88166667,-79.98861111,9.144,
CHN-0484,32.58194444,-80.30611111,4.2672,14.776704
CHN-0601,32.7594444444444,-79.8488888888889,2.4384,
CHN-0603,32.7769444444444,-79.8097222222222,2.4384,
CHN-0604,32.8011111111111,-79.7541666666667,3.048,
CHN-0635,32.7644444444444,-79.8327777777778,2.1336,
CHN-0801,32.6144444444444,-80.0525,3.048,
CHN-0803,33.15583333,-79.36388889,3.3528,2.46888
CHN-0849,32.7916666666667,-79.8986111111111,,
CHN-0989,32.73722222,-80.17777778,4.572,15.319248
CHN-0990,32.94083333,-79.65694444,1.524,2.016252
CHN-0991,32.9405555555556,-79.6569444444445,1.524,1.007364
CLA-0016,33.6938888888889,-80.2127777777778,38.1,11.7729
CLA-0020,33.7,-80.2136111111111,39.624,11.0109
CLA-0027,33.6883333333333,-80.1938888888889,33.528,
CLA-0030,33.8855555555556,-80.01,29.8704,
CLA-0033,33.6511111111111,-80.2802777777778,41.7576,
CLA-0036,33.5811111111111,-80.3944444444444,28.956000000000003,
CLA-0061,33.8283333333333,-79.9483333333333,24.384,
CLA-0146,33.6352777777778,-80.2669444444444,41.148,
